Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Kopernik |Cambridge Springs, PA|1973-1974||pol|eng,|P||N|||Copernicus|
Kosciól Reformacyjny w Ameryce |Chicago, IL (Scranton, PA)|1906-1909); microfilm: 1906-1909||pol|eng|M||N|||The Church of the Reformation of America|
The Kosciuszko Foundation Newsletter|New York, NY|1946-1978||pol|eng,|P||N||||
Kosciuszko Foundation Annual Ball|New York, NY|1937-1939, 1945, 1947-1950, 1953, 1955, 1957, 1962-1966, 1969-1972, 1975-1978||pol|eng,|P||N||||
Kosciuszko Foundation Presentation Ball|Boston, MA|1949, 1955, 1957, 1959, 1961, 1963, 1966-1967, 1969, 1971, 1973, 1976-1977, 1979, 1981||pol|eng,|P||N||||
Krajowa Agencja Informacyjna |Warsaw, Poland|1971-1983||pol|pol,eng|P||N|||Polish Information Agency|
Krajowa Agencja Informacyjna Supplement |Warsaw, Poland|||pol|pol,eng|P||N|||Polish Information Agency Supplement|
Kronika Seraficka |Detroit, MI (previously published in Buffalo, NY and Milwaukee, WI)|1933-1950, 1954||pol|eng,|P||N|||The Seraphic Chronicle|
Ksiazka Roczna i Kalendarz "Ameryki-Echa" |Toledo, OH|1924-1925, 1927-1936, 1939-1940, 1942-1944, 1946-1957, 1959||pol|eng|P||N|||Yearbook and Calendar of "America-Echo"; previously titled Kalendarz Polski Ameryki-Echa|
Kultura |Paris, France|1953, 1961, 1968, 1970-1980||pol|eng|P||N|||Culture|
Return to Top ||||pol||P||N||||
Lake Oracle|Orchard Lake, MI|1946-1947||pol|eng,|P||N||||
The Lamplighter|Bayonne, NJ|1973||pol|eng,|P||N||||
Lekcje Biblijne dla Doroslych do Uzytku w Domu i w Szkole |Pittsburgh, PA|||pol|eng,|P||N|||Bible Lessons for Adults in Home and School|
Liga |Chicago, IL (previously published in Detroit, MI)|1944-1946, 1948||pol|eng|P||N|||The League|
Listy do Polaków |New Britain, CT|1971-1978||pol|eng|P||N|||Letters to the Poles|
The Massachusetts Federation of Polish Women's Clubs|Inc|1960, 1963, 1968, 1970, 1974-1976||pol|eng,pol,|P||N||||
Memento|Detroit, MI|1931||pol||P||N||||
Merchant's Guide|New York, NY|1949||pol|eng,|P||N||||
Miesiecznik Franciszkanski |Pulaski, WI|1915-1916, 1922-1950, 1952-1973||pol|eng|P||N|||Franciscan Monthly|
Miesiecznik Parafialny |Trenton, NJ|1948||pol|eng,|P||N|||St. Hedwig Parish Monthly|
Migrant Echo|San Francisco, CA|1972-1981||pol|eng,|P||N||||
Minnesota Pol-Am Newsletter|Minneapolis, MN|1980-1983, 1985-1987||pol|eng,|P||N||||
Mlody Polak Zagranica |Warsaw, Poland|1934-1935||pol|eng|P||N|||Young Pole Abroad|
Mlodziez Afrykanska |St|1969-1971||pol|eng|P||N|||African Youth|
Monthly American Polish|Syracuse, NY|1939-1940||pol|eng,pol,|P||N||||
The Monthly Future |New York, NY|1939-1941||pol|eng,|P||N|||Friends of Poland Inc.|
Morze |Chicago, IL|1943, 1960, 1964-1965||pol|eng|P||N|||The Sea|
Mowa Radiowa |Buffalo, NY|1931-1932||pol|eng|P||N|||Radio Speech|
Murzynek |St|1938-1942, 1945-1949||pol|eng|P||N|||The Negro Child|
Na Antenie |Radio Free Europe), London, England|1969||pol|pol,eng|P||N|||On the Air; published on behalf of the Polish Broadcasting Department|
Nasz Swiat |Detroit, MI|1942-1943, 1945||pol|eng|P||N|||Our World Weekly|
Nasza Ojczyzna |Warsaw, Poland|1958, 1971||pol|eng,|P||N|||Our Fatherland|
Nasza Rodzina |Paris, France|1971-1975||pol|eng|P||N|||Our Family|
