Title|Place of publication|Date range of issues|Only one issue?|Primary Language|Secondary language|Format (print/microfilm|Condition|Periodical/Newspaper|Priority (L/M/H)|Plans for digitization|Alt title|Notes
Miciganas Sv. Jana Ev.-Lut. Latviesu Draudze Zinotajs |Kalamazoo, MI|Zinojumi Miciganas Ev||lav|eng|P||N|||Michigan St. John's Evangelical-Lutheran Church News; title varies: Zinojumi Miciganas Ev.-Lutera Draudzei; Zinotajs; Dzimtenes Baznicas Balss|
Miera Draudzes Kalendars |Los Angeles, CA|1968||lav|eng|P||N|||Peace Church Calendar|
Miera Draudzes Zinas |Los Angeles, CA|1970, 1972-1974, 1981-1982||lav|eng|P||N|||Peace Church News; previously titled Baznicas Zinas and Zinas|
Milvoku Latviesu Ev. Lut. Sv. Jana Draudze |Milwaukee, WI|1980-date||lav|lav,eng|P||N|||Milwaukee Latvian Evangelical-Lutheran St. John Church; previously titled Apkartraksts|
Milvoku Latviesu Skolas Komitejas Prezidija Apkartraksts |Milwaukee, WI|||lav|lav,eng|P||N|||Milwaukee Latvian School Committee's Presidium Newsletter|
Mineapoles - St. Paula Latviesu Ev. Lut. Draudzes|Minneapolis, MN|1968, 1974, 1981, 1983||lav||P||N||||
Montrealas Latviesu Biedribas Zinotajs |Montreal, Quebec, Canada|1950, 1978-1982||lav|lav,eng|P||N|||Montreal Latvian Society Bulletin|
Musu Domas |Toronto, Ontario, Canada|1951||lav|eng|P||N|||Our Thoughts|
Musu Skola |Washington, DC (?)|1964||lav|eng|P||N|||Our School|
Musu Valodas |New York, NY|1972||lav|eng|P||N|||Our Languages|
Nebraskas Zinotajs |Lincoln, NE|1960-1962||lav|eng|P||N|||Nebraska Messenger|
The New Word |Meerbeck, Germany|1946-1947||lav|eng,ger,|P||N|||English version of Jaunais Vards|
Nujorkas Latviesu Ev. Lut. Draudze Baznicas Zinas |Brooklyn, NY|1952-1958, 1961, 1963-1964, 1966-1970, 1972-1974, 1977||lav|lav,eng|P||N|||New York Latvian Evangelical-Lutheran Church News|
Omahas Latvietis |Omaha, NE|1962-1963, 1965-1968, 1971-1972||lav|lav,eng|P||N|||The Omaha Latvian|
Return to Top ||||lav||P||N||||
Oregonas Latviesu Biedriba Portlandes Nodala Apkartraksts |Portland, OR|||lav|lav,eng|P||N|||Oregon Latvian Society--Portland Section Newsletter|
Oregonas Latviesu Ev.-Lut. Draudze Apkartraksts |Portland, OR|1961-1963, 1978-1981||lav|lav,eng|P||N|||Oregon Latvian Evangelical-Lutheran Church Newsletter|
Oregonietis |Portland, OR|1958-1960, 1963-1965, 1967, 1969-date||lav|eng|P||N|||The Oregonian; previously titled Oregonas Latviesu Beidribas Informacijas Biletens|
Paklau |Chicago, IL|1962||lav|eng|P||N|||Listen|
Pedejais Laiks |Toronto, Ontario, Canada|1981-1982||lav|eng|P||N|||Recent Times|
Pie Svetavota |Heepen, West Germany|1948-1950, 1959-1970, 1973||lav|ger,eng|P||N|||At the Holy Well|
Portlandes Latviesu Jaunatnes Pulcins Apkartraksts |Portland, OR|||lav|lav,eng|P||N|||Portland Latvian Youth Group Bulletin|
Portlandes Oregonas Gada Atminas |Oregon, Annual), Portland, OR|1971-1973, 1975, 1977-1981, 1983-1984||lav|eng|P||N|||Portland|
Preses Pile |Boston, MA-New York, NY|1957, 1959-1960, 1964||lav|eng|P||N|||Press Canard|
Preses Pile |Münster, West Germany|||lav|ger,eng|P||N|||Press Canard|
Preses Pile |Chicago, IL|||lav|eng|P||N|||Press Canard|
Preses Pile |Toronto, Ontario, Canada|||lav|eng|P||N|||Press Canard|
Raina un Aspazijas Gada Gramata |Västerås, Sweden|1968, 1970, 1972, 1975-1981||lav|eng|P||N|||The Rainis and Aspazija Yearbook|
Rajums; Raksti Latviesu Valodas Kopsanai |Baltic Philology Association of Chicago), Chicago, IL|||lav|lav,eng|P||N|||Tilled Field; Contributions to the Preservation of the Latvian Language|
Raksti |New York, NY|1952-1953||lav|eng|P||N|||Writings|
Raksti |Toronto, Ontario, Canada), Bronx, NY|1973||lav|eng|P||N|||Writings; supplement to the newspaper Latvija Amerika|
Rakstnieka Celi |New York, NY|||lav|eng|P||N|||Writers' Road|
Republikanis |Los Angeles, CA|1958||lav|eng|P||N|||The Republican|
Rokas Gramata un Gimenes Kalendars |Brooklyn, NY|1953, 1955-1957, 1959||lav|eng|P||N|||Handbook and Family Calendar|
Sanfrancisko Dziesmu Svetku Zinas |San Francisco, CA|||lav|eng|P||N|||San Francisco Song Festival News|
Sauksme |Kempten, Germany|1946-1948||lav|ger,eng|P||N|||Reveille|
Saulaina Krasta Vestis |St|1980-date||lav|eng|P||N|||The Sun Coast Herald|
Senatobijas Latviesu Ev. Lut. Draudze Zinu Biletens |Senatobia, MS|1952-1953||lav|lav,eng|P||N|||Senatobia Latvian Evangelical-Lutheran Church News Bulletin|
Sesika; Parkrievosana|Tautas Iznicinasana Latvija (Sesika; Russification, National Destruction in Latvia), Toronto, Ontario, Canada|1972||lav||P||N||||
Sidnejas Latviesu Teatris |Sydney, Australia|||lav|lav,eng|P||N|||Sydney Latvian Theater|
Sikumi |Toronto, Ontario, Canada|1974||lav|eng|P||N|||Trifles|
Sirakuzu Latviesu Biedribas Biletens |Syracuse, NY|1962-1963, 1965, 1970||lav|lav,eng|P||N|||Syracuse Latvian Society Bulletin|
Sirakuzu Vestis |Syracuse, NY|1973-date||lav|eng|P||N|||Syracuse Herald|
Skatuve |Lakewood, OH|1977, 1981-1982||lav|eng|P||N|||The Stage|
Skatuve un Dzive |Chicago, IL|1959||lav|eng|P||N|||Stage and Life|
Sporta Gada Gramata |Hanau am Main, Germany|1948||lav|ger,eng|P||N|||Sports Yearbook|
Sporta Vestis |Minneapolis, MN|||lav|eng|P||N|||Sports Herald|
Strelnieks |Chicago, IL|1965-1972, 1974-1975||lav|eng|P||N|||The Rifleman|
